nom_continent,nom_pays
Afrique,Algérie
Afrique,Madagascar
Afrique,Cameroun
Afrique,Ouganda
Afrique,Somalie
Afrique,Ethiopie
Afrique,Angola
Afrique,Maroc
Afrique,Soudan
Afrique,Afrique du Sud
Afrique,Zambie
Afrique,Tchad
Afrique,Tanzanie
Afrique,Egypte
Afrique,Niger
Afrique,Mauritanie
Afrique,Congo-Kinshasa
Afrique,Nambie
Afrique,Libye
Afrique,Nigeria
Afrique,Centrafrique
Afrique,Zimbabwe
Afrique,Mali
Afrique,Botswana
Afrique,Kenya
Amérique,Bolivie
Amérique,Venezuela
Amérique,Groenland
Amérique,Equateur
Amérique,Paraguay
Amérique,Uruguay
Amérique,Colombie
Amérique,Pérou
Amérique,Argentine
Amérique,Canada
Amérique,Mexique
Amérique,Brésil
Amérique,Etats-Unis
Asie,Pakistan
Asie,Yémén
Asie,Irak
Asie,Turkménistan
Asie,Irak
Asie,Oman
Asie,Afghanistan
Asie,Mongolie
Asie,Arabie Saoudite
Asie,Turquie
Asie,Inde
Asie,Russie
Asie,Iran
Asie,Kazakhstan
Asie,Chine
Asie,Kirghizistan
Asie,Ouzbékistan
Europe,France
Europe,Pologne
Europe,République Chèque
Europe,Portugal
Europe,Italie
Europe,Suisse
Europe,Ukraine
Europe,Turquie
Europe,Espagne
Europe,Allemagne
Europe,Biélorussie
Europe,Norvège
Europe,Islande
Europe,Roumanie
Europe,Suède
Europe,Russie
Europe,Bulgarie
Europe,Hongrie
Europe,Finlande
Europe,Royaume-Uni
Europe,Autriche
Europe,Grèce
Europe,Irlande
